ID,Block/Item,Mod,Unlocalised name,Class
1,Block,Minecraft,tile.stone,net.minecraft.block.BlockStone
2,Block,Minecraft,tile.grass,net.minecraft.block.BlockGrass
3,Block,Minecraft,tile.dirt,net.minecraft.block.BlockDirt
4,Block,Minecraft,tile.stonebrick,net.minecraft.block.Block
5,Block,Minecraft,tile.wood,net.minecraft.block.BlockWood
6,Block,Minecraft,tile.sapling,net.minecraft.block.BlockSapling
7,Block,ThaumicTinkerer,tile.bedrock,vazkii.tinkerer.common.block.kami.BlockBedrockKAMI
8,Block,Minecraft,tile.water,net.minecraft.block.BlockFlowing
9,Block,Minecraft,tile.water,net.minecraft.block.BlockStationary
10,Block,Minecraft,tile.lava,net.minecraft.block.BlockFlowing
11,Block,Minecraft,tile.lava,net.minecraft.block.BlockStationary
12,Block,Minecraft,tile.sand,net.minecraft.block.BlockSand
13,Block,Minecraft,tile.gravel,net.minecraft.block.BlockGravel
14,Block,Minecraft,tile.oreGold,net.minecraft.block.BlockOre
15,Block,Minecraft,tile.oreIron,net.minecraft.block.BlockOre
16,Block,Minecraft,tile.oreCoal,net.minecraft.block.BlockOre
17,Block,Minecraft,tile.log,net.minecraft.block.BlockLog
18,Block,Minecraft,tile.leaves,net.minecraft.block.BlockLeaves
19,Block,Minecraft,tile.sponge,net.minecraft.block.BlockSponge
20,Block,Minecraft,tile.glass,net.minecraft.block.BlockGlass
21,Block,Minecraft,tile.oreLapis,net.minecraft.block.BlockOre
22,Block,Minecraft,tile.blockLapis,net.minecraft.block.Block
23,Block,Minecraft,tile.dispenser,net.minecraft.block.BlockDispenser
24,Block,Minecraft,tile.sandStone,net.minecraft.block.BlockSandStone
25,Block,Minecraft,tile.musicBlock,net.minecraft.block.BlockNote
26,Block,Minecraft,tile.bed,net.minecraft.block.BlockBed
27,Block,Minecraft,tile.goldenRail,net.minecraft.block.BlockRailPowered
28,Block,Minecraft,tile.detectorRail,net.minecraft.block.BlockDetectorRail
29,Block,Minecraft,tile.pistonStickyBase,net.minecraft.block.BlockPistonBase
30,Block,Minecraft,tile.web,net.minecraft.block.BlockWeb
31,Block,Minecraft,tile.tallgrass,net.minecraft.block.BlockTallGrass
32,Block,Minecraft,tile.deadbush,net.minecraft.block.BlockDeadBush
33,Block,Minecraft,tile.pistonBase,net.minecraft.block.BlockPistonBase
34,Block,Minecraft,tile.null,net.minecraft.block.BlockPistonExtension
35,Block,Minecraft,tile.cloth,net.minecraft.block.BlockColored
36,Block,Minecraft,tile.null,net.minecraft.block.BlockPistonMoving
37,Block,Minecraft,tile.flower,net.minecraft.block.BlockFlower
38,Block,Minecraft,tile.rose,net.minecraft.block.BlockFlower
39,Block,Minecraft,tile.mushroom,net.minecraft.block.BlockMushroom
40,Block,Minecraft,tile.mushroom,net.minecraft.block.BlockMushroom
41,Block,Minecraft,tile.blockGold,net.minecraft.block.BlockOreStorage
42,Block,Minecraft,tile.blockIron,net.minecraft.block.BlockOreStorage
43,Block,Minecraft,tile.stoneSlab,net.minecraft.block.BlockStep
44,Block,Minecraft,tile.stoneSlab,net.minecraft.block.BlockStep
45,Block,Minecraft,tile.brick,net.minecraft.block.Block
46,Block,Minecraft,tile.tnt,net.minecraft.block.BlockTNT
47,Block,Minecraft,tile.bookshelf,net.minecraft.block.BlockBookshelf
48,Block,Minecraft,tile.stoneMoss,mrtjp.projectred.exploration.BlockPhotosyntheticCobblestone
49,Block,Minecraft,tile.obsidian,net.minecraft.block.BlockObsidian
50,Block,Minecraft,tile.torch,net.minecraft.block.BlockTorch
51,Block,Minecraft,tile.fire,net.minecraft.block.BlockFire
52,Block,Minecraft,tile.mobSpawner,net.minecraft.block.BlockMobSpawner
53,Block,Minecraft,tile.stairsWood,net.minecraft.block.BlockStairs
54,Block,Minecraft,tile.chest,net.minecraft.block.BlockChest
55,Block,Minecraft,tile.redstoneDust,net.minecraft.block.BlockRedstoneWire
56,Block,Minecraft,tile.oreDiamond,net.minecraft.block.BlockOre
57,Block,Minecraft,tile.blockDiamond,factorization.oreprocessing.BlockOreStorageShatterable
58,Block,RandomThings,tile.workbench,lumien.randomthings.Blocks.BlockColoredWorkBench
59,Block,Minecraft,tile.crops,net.minecraft.block.BlockCrops
60,Block,Minecraft,tile.farmland,net.minecraft.block.BlockFarmland
61,Block,Minecraft,tile.furnace,net.minecraft.block.BlockFurnace
62,Block,Minecraft,tile.furnace,net.minecraft.block.BlockFurnace
63,Block,Minecraft,tile.sign,net.minecraft.block.BlockSign
64,Block,Minecraft,tile.doorWood,net.minecraft.block.BlockDoor
65,Block,Minecraft,tile.ladder,net.minecraft.block.BlockLadder
66,Block,Minecraft,tile.rail,net.minecraft.block.BlockRail
67,Block,Minecraft,tile.stairsStone,net.minecraft.block.BlockStairs
68,Block,Minecraft,tile.sign,net.minecraft.block.BlockSign
