ID,Unlocalised name,Type,Min Level,Max Level,Class
0,enchantment.protect.all,armor,1,4,net.minecraft.enchantment.EnchantmentProtection
1,enchantment.protect.fire,armor,1,4,net.minecraft.enchantment.EnchantmentProtection
2,enchantment.protect.fall,armor_feet,1,4,net.minecraft.enchantment.EnchantmentProtection
3,enchantment.protect.explosion,armor,1,4,net.minecraft.enchantment.EnchantmentProtection
4,enchantment.protect.projectile,armor,1,4,net.minecraft.enchantment.EnchantmentProtection
5,enchantment.oxygen,armor_head,1,3,net.minecraft.enchantment.EnchantmentOxygen
6,enchantment.waterWorker,armor_head,1,1,net.minecraft.enchantment.EnchantmentWaterWorker
7,enchantment.thorns,armor_torso,1,3,net.minecraft.enchantment.EnchantmentThorns
16,enchantment.damage.all,weapon,1,5,net.minecraft.enchantment.EnchantmentDamage
17,enchantment.damage.undead,weapon,1,5,net.minecraft.enchantment.EnchantmentDamage
18,enchantment.damage.arthropods,weapon,1,5,net.minecraft.enchantment.EnchantmentDamage
19,enchantment.knockback,weapon,1,2,net.minecraft.enchantment.EnchantmentKnockback
20,enchantment.fire,weapon,1,2,net.minecraft.enchantment.EnchantmentFireAspect
21,enchantment.lootBonus,weapon,1,3,net.minecraft.enchantment.EnchantmentLootBonus
32,enchantment.digging,digger,1,5,net.minecraft.enchantment.EnchantmentDigging
33,enchantment.untouching,digger,1,1,net.minecraft.enchantment.EnchantmentUntouching
34,enchantment.durability,digger,1,3,net.minecraft.enchantment.EnchantmentDurability
35,enchantment.lootBonusDigger,digger,1,3,net.minecraft.enchantment.EnchantmentLootBonus
48,enchantment.arrowDamage,bow,1,5,net.minecraft.enchantment.EnchantmentArrowDamage
49,enchantment.arrowKnockback,bow,1,2,net.minecraft.enchantment.EnchantmentArrowKnockback
50,enchantment.arrowFire,bow,1,1,net.minecraft.enchantment.EnchantmentArrowFire
51,enchantment.arrowInfinite,bow,1,1,net.minecraft.enchantment.EnchantmentArrowInfinite
60,enchantment.appealing,fishingPole,1,5,rebelkeithy.mods.aquaculture.enchantments.EnchantmentAppealing
61,enchantment.magnetic,fishingPole,1,5,rebelkeithy.mods.aquaculture.enchantments.EnchantmentMagnetic
62,enchantment.longCast,fishingPole,1,5,rebelkeithy.mods.aquaculture.enchantments.EnchantmentLongCast
63,enchantment.shortCast,fishingPole,1,5,rebelkeithy.mods.aquaculture.enchantments.EnchantmentShortCast
65,enchantment.barbedHook,fishingPole,1,5,rebelkeithy.mods.aquaculture.enchantments.EnchantmentBardedHook
66,enchantment.doubleHook,fishingPole,1,5,rebelkeithy.mods.aquaculture.enchantments.EnchantmentDoubleHook
67,enchantment.digging,digger,1,5,rebelkeithy.mods.aquaculture.enchantments.EnchantmentEfficiencyFishing
68,enchantment.heavyLine,fishingPole,1,5,rebelkeithy.mods.aquaculture.enchantments.EnchantmentHeavyLine
85,enchantment.soulstealer,weapon,1,5,com.shadwdrgn.soulshards.EnchantmentSoulStealer
136,enchantment.tfFireReact,armor,1,1,twilightforest.EnchantmentTFFireReact
188,Reading,armor_head,1,1,jds.bibliocraft.EnchantmentReading
